Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,TX ID,Product,Quantity,Map_Quantity,Unit Price,Amount,Map_Amount,Order Date,Ship Date,Customer Gender,Order Mode,Rating C,State,County,Days to Deliver,Weeknum,Gender Value,Order Month,Order Mode and Gender Value will be used for making interactions
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of TX ID,Sum of Quantity,Sum of Amount,Average of Rating C,Average of Days to Deliver,,,Values for Display,,,,,,,,,,,,,,,,,,,,,,,,,
43,241,11182.299999999997,4.3023255813953485,2.372093023255814,,,Order,Quantity,Amount,Avg. Rating,Avg. Days,,,,,,,,,,,,,,,,,,,,,
,,,,,,,43,241,$11.2k,4.3,2.4,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trends (last 13 weeks) :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Sum of Quantity,Sum of Amount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,48.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,125,6110.999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,44,2134.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,26,1218.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,44,1669.5000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,241,11182.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FOR MATRIX :,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of Amount,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Female,Grand Total,,,,,,Female,Grand Total,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Instagram,1,1,,,,,Instagram,1,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Grand Total,1,1,,,,,Grand Total,1,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Count of TX ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 TO 10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
More than 10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of Quantity,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Female,Male,Other,Unknown,Grand Total,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-Shirts,44,27,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bikinis,47,20,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeans,21,35,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graphic Tees,41,3,,6,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leggings,2,21,7,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casual Dresses,16,7,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoodies & Sweatshirts,9,10,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shorts,9,8,,2,19,,Row Labels,Sum of Quantity,,,,,,,,,,,,,,,,,,,,,,,,
Tank Tops,7,10,,,17,,Female,241,,,,,,,,,,,,,,,,,,,,,,,,
Sneakers,13,2,,2,17,,Male,162,,,,,,,,,,,,,,,,,,,,,,,,
Sundresses,12,4,,,16,,Other,7,,,,,,,,,,,,,,,,,,,,,,,,
Maxi Dresses,15,,,,15,,Unknown,33,,,,,,,,,,,,,,,,,,,,,,,,
Sandals,5,,,10,15,,Grand Total,443,,,,,,,,,,,,,,,,,,,,,,,,
Baseball Caps,,9,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunglasses,,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crop Tops,,3,,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jewelry,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Workout Tops,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,241,162,7,33,443,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,County,Sum of Quantity,Sum of Amount,,,State,County,Amount,,,State,County,Quantity,,,,,,,,,,,,,,,,,,,
California,Alameda County,2,335.8,,,California,Alameda County,2,,,California,Alameda County,2,,,,,,,,,,,,,,,,,,,
California,Contra Costa County,14,453.2,,,California,Contra Costa County,14,,,California,Contra Costa County,14,,,,,,,,,,,,,,,,,,,
California,Kern County,10,310,,,California,Kern County,10,,,California,Kern County,10,,,,,,,,,,,,,,,,,,,
California,Los Angeles County,112,4715.7,,,California,Los Angeles County,112,,,California,Los Angeles County,112,,,,,,,,,,,,,,,,,,,
California,Madera County,2,149.6,,,California,Madera County,2,,,California,Madera County,2,,,,,,,,,,,,,,,,,,,
California,Merced County,6,282,,,California,Merced County,6,,,California,Merced County,6,,,,,,,,,,,,,,,,,,,
California,Orange County,10,488,,,California,Orange County,10,,,California,Orange County,10,,,,,,,,,,,,,,,,,,,
California,Sacramento County,4,148,,,California,Sacramento County,4,,,California,Sacramento County,4,,,,,,,,,,,,,,,,,,,
California,San Diego County,22,1392.4,,,California,San Diego County,22,,,California,San Diego County,22,,,,,,,,,,,,,,,,,,,
California,San Mateo County,10,494.4,,,California,San Mateo County,10,,,California,San Mateo County,10,,,,,,,,,,,,,,,,,,,
